State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Calhoun,170,-96.809528,28.604126 -96.802088,28.604126 -96.802088,28.595316 -96.809528,28.595316 -96.809528,28.604126
TX,Calhoun,171,-96.802088,28.604126 -96.794648,28.604126 -96.794648,28.595316 -96.802088,28.595316 -96.802088,28.604126
TX,Calhoun,172,-96.794648,28.612936 -96.787208,28.612936 -96.787208,28.604126 -96.794648,28.604126 -96.794648,28.612936
TX,Calhoun,173,-96.787208,28.612936 -96.779768,28.612936 -96.779768,28.604126 -96.787208,28.604126 -96.787208,28.612936
TX,Calhoun,174,-96.794648,28.604126 -96.787208,28.604126 -96.787208,28.595316 -96.794648,28.595316 -96.794648,28.604126
TX,Calhoun,175,-96.787208,28.604126 -96.779768,28.604126 -96.779768,28.595316 -96.787208,28.595316 -96.787208,28.604126
TX,Calhoun,176,-96.809528,28.595316 -96.802088,28.595316 -96.802088,28.586505 -96.809528,28.586505 -96.809528,28.595316
TX,Calhoun,177,-96.802088,28.595316 -96.794648,28.595316 -96.794648,28.586505 -96.802088,28.586505 -96.802088,28.595316
TX,Calhoun,178,-96.809528,28.586505 -96.802088,28.586505 -96.802088,28.577695 -96.809528,28.577695 -96.809528,28.586505
TX,Calhoun,179,-96.802088,28.586505 -96.794648,28.586505 -96.794648,28.577695 -96.802088,28.577695 -96.802088,28.586505
TX,Calhoun,180,-96.794648,28.595316 -96.787208,28.595316 -96.787208,28.586505 -96.794648,28.586505 -96.794648,28.595316
TX,Calhoun,181,-96.787208,28.595316 -96.779768,28.595316 -96.779768,28.586505 -96.787208,28.586505 -96.787208,28.595316
TX,Calhoun,182,-96.794648,28.586505 -96.787208,28.586505 -96.787208,28.577695 -96.794648,28.577695 -96.794648,28.586505
TX,Calhoun,183,-96.787208,28.586505 -96.779768,28.586505 -96.779768,28.577695 -96.787208,28.577695 -96.787208,28.586505
TX,Calhoun,184,-96.825471,28.577695 -96.825471,28.572213 -96.837428,28.572213 -96.837428,28.577695 -96.825471,28.577695
TX,Calhoun,185,-96.837428,28.572213 -96.831449,28.572213 -96.831449,28.56125 -96.837428,28.56125 -96.837428,28.572213
TX,Calhoun,186,-96.831449,28.572213 -96.825471,28.572213 -96.825471,28.56125 -96.831449,28.56125 -96.831449,28.572213
TX,Calhoun,187,-96.825471,28.577695 -96.817499,28.577695 -96.817499,28.569472 -96.825471,28.569472 -96.825471,28.577695
TX,Calhoun,188,-96.817499,28.577695 -96.809528,28.577695 -96.809528,28.569472 -96.817499,28.569472 -96.817499,28.577695
TX,Calhoun,189,-96.825471,28.569472 -96.817499,28.569472 -96.817499,28.56125 -96.825471,28.56125 -96.825471,28.569472
TX,Calhoun,190,-96.817499,28.569472 -96.809528,28.569472 -96.809528,28.56125 -96.817499,28.56125 -96.817499,28.569472
TX,Calhoun,191,-96.837428,28.56125 -96.830453,28.56125 -96.830453,28.551852 -96.837428,28.551852 -96.837428,28.56125
TX,Calhoun,192,-96.830453,28.56125 -96.823478,28.56125 -96.823478,28.551852 -96.830453,28.551852 -96.830453,28.56125
TX,Calhoun,193,-96.837428,28.551852 -96.830453,28.551852 -96.830453,28.542455 -96.837428,28.542455 -96.837428,28.551852
TX,Calhoun,194,-96.830453,28.551852 -96.823478,28.551852 -96.823478,28.542455 -96.830453,28.542455 -96.830453,28.551852
TX,Calhoun,195,-96.823478,28.56125 -96.816503,28.56125 -96.816503,28.551852 -96.823478,28.551852 -96.823478,28.56125
TX,Calhoun,196,-96.816503,28.56125 -96.809528,28.56125 -96.809528,28.551852 -96.816503,28.551852 -96.816503,28.56125
TX,Calhoun,197,-96.823478,28.551852 -96.816503,28.551852 -96.816503,28.542455 -96.823478,28.542455 -96.823478,28.551852
TX,Calhoun,198,-96.816503,28.551852 -96.809528,28.551852 -96.809528,28.542455 -96.816503,28.542455 -96.816503,28.551852
TX,Calhoun,199,-96.809528,28.577695 -96.802088,28.577695 -96.802088,28.568885 -96.809528,28.568885 -96.809528,28.577695
TX,Calhoun,200,-96.802088,28.577695 -96.794648,28.577695 -96.794648,28.568885 -96.802088,28.568885 -96.802088,28.577695
TX,Calhoun,201,-96.809528,28.568885 -96.802088,28.568885 -96.802088,28.560075 -96.809528,28.560075 -96.809528,28.568885
